Date,Open,High,Low,Close,Volume
11/8/2024,227.17,228.66,226.41,226.96,"38,328,820"
11/7/2024,224.63,227.88,224.57,227.48,"42,137,688"
11/6/2024,222.61,226.07,221.19,222.72,"54,561,121"
11/5/2024,221.8,223.95,221.14,223.45,"28,111,340"
11/4/2024,220.99,222.79,219.71,222.01,"44,944,473"
11/1/2024,220.97,225.35,220.27,222.91,"65,276,738"
10/31/2024,229.34,229.83,225.37,225.91,"64,370,090"
10/30/2024,232.61,233.47,229.55,230.1,"47,070,910"
10/29/2024,233.1,234.33,232.32,233.67,"35,417,246"
10/28/2024,233.32,234.73,232.55,233.4,"36,087,129"
10/25/2024,229.74,233.22,229.57,231.41,"38,802,301"
10/24/2024,229.98,230.82,228.41,230.57,"31,109,500"
10/23/2024,234.08,235.14,227.76,230.76,"52,286,980"
10/22/2024,233.89,236.22,232.6,235.86,"38,846,578"
10/21/2024,234.45,236.85,234.45,236.48,"36,254,473"
10/18/2024,236.18,236.18,234.01,235,"46,431,473"
10/17/2024,233.43,233.85,230.52,232.15,"32,993,809"
10/16/2024,231.6,232.12,229.84,231.78,"34,082,238"
10/15/2024,233.61,237.49,232.37,233.85,"64,751,367"
10/14/2024,228.7,231.73,228.6,231.3,"39,882,090"
10/11/2024,229.3,229.41,227.34,227.55,"31,759,189"
10/10/2024,227.78,229.5,227.17,229.04,"28,183,539"
10/9/2024,225.23,229.75,224.83,229.54,"33,591,090"
10/8/2024,224.3,225.98,223.25,225.77,"31,855,689"
10/7/2024,224.5,225.69,221.33,221.69,"39,505,352"
10/4/2024,227.9,228,224.13,226.8,"37,345,102"
10/3/2024,225.14,226.81,223.32,225.67,"34,044,160"
10/2/2024,225.89,227.37,223.02,226.78,"32,880,609"
10/1/2024,229.52,229.65,223.74,226.21,"63,285,047"
9/30/2024,230.04,233,229.65,233,"54,793,391"
9/27/2024,228.46,229.52,227.3,227.79,"34,025,969"
9/26/2024,227.3,228.5,225.41,227.52,"36,636,711"
9/25/2024,224.93,227.29,224.02,226.37,"42,308,719"
9/24/2024,228.65,229.35,225.73,227.37,"43,556,070"
9/23/2024,227.34,229.45,225.81,226.47,"54,146,020"
9/20/2024,229.97,233.09,227.62,228.2,"318,679,906"
9/19/2024,224.99,229.82,224.63,228.87,"66,781,320"
9/18/2024,217.55,222.71,217.54,220.69,"59,894,930"
